13	14	1
13	44	1
13	140	1
13	195	1
13	246	1
14	21	1
14	30	1
14	62	1
14	68	1
14	107	1
14	115	1
14	140	2
14	178	1
14	185	1
14	195	3
14	211	1
14	261	1
14	262	1
17	108	1
18	19	1
18	20	1
19	20	1
21	22	2
21	34	1
21	39	1
21	40	1
21	41	1
21	54	1
21	58	2
21	151	1
21	176	1
21	185	1
21	292	1
21	295	1
21	304	1
21	305	1
22	41	1
22	54	1
22	58	1
22	151	1
24	56	1
26	224	1
27	36	1
27	59	1
29	79	1
29	195	2
29	226	1
30	195	1
31	56	1
31	216	1
32	56	1
35	195	1
36	56	1
36	59	1
36	116	1
36	185	1
36	321	1
37	177	1
37	188	1
38	195	1
39	40	1
41	54	1
41	151	1
42	224	1
42	290	1
44	76	1
44	195	2
44	246	1
45	119	1
54	151	1
56	91	1
56	185	2
56	216	1
56	292	1
56	295	1
56	326	1
56	376	1
63	111	1
64	374	1
68	195	3
68	327	1
76	195	1
79	195	1
107	115	1
107	275	1
111	114	1
119	272	1
132	352	1
137	224	1
138	254	1
140	149	1
164	165	1
177	188	1
178	211	1
179	195	1
185	321	1
195	246	1
195	262	1
195	329	2
195	338	1
223	238	1
224	290	1
224	295	1
239	241	1
240	292	1
245	292	1
275	293	1
275	295	1
304	305	1
