2	610	0.5
2	622	0.5
10	116	1
22	99	1
22	511	1
31	85	0.3429
31	116	0.3429
31	317	0.3429
31	432	0.1429
31	588	0.3429
31	627	0.1429
31	668	0.3429
44	184	0.5
44	469	0.5
44	565	1
56	148	0.3095
56	194	0.3095
56	225	0.6429
56	228	0.3095
56	523	0.3095
56	637	0.8095
56	638	0.3095
81	330	1
81	643	1
84	380	2
85	116	2.6095
85	317	2.6095
85	432	1.5095
85	552	0.4
85	555	0.5
85	588	1.2095
85	627	1.0095
85	651	0.5667
85	668	1.2429
88	469	2
90	473	2
99	511	1
101	526	2
116	317	2.6095
116	432	1.5095
116	552	0.4
116	555	0.5
116	588	1.2095
116	627	1.0095
116	651	0.5667
116	668	1.2429
119	140	1.5
119	301	1.5
125	330	1
125	469	1
128	335	0.5
128	416	2.5
140	301	1.5
148	194	0.3095
148	225	0.1429
148	228	0.3095
148	523	0.3095
148	637	0.3095
148	638	0.3095
164	383	0.5
164	420	0.5
164	560	0.5
164	563	0.5
167	238	2
184	565	0.5
185	438	1
185	658	1
192	451	0.3333
192	494	1.3333
192	509	0.3333
194	225	0.1429
194	228	0.3095
194	523	0.3095
194	637	0.3095
194	638	0.3095
225	228	0.1429
225	523	0.1429
225	637	0.6429
225	638	0.1429
228	523	0.3095
228	637	0.3095
228	638	0.3095
317	432	1.5095
317	552	1.4
317	555	0.5
317	588	1.2095
317	627	1.0095
317	651	0.5667
317	668	1.2429
319	526	2
325	561	1
325	570	1
330	389	1
330	643	1
335	415	1
335	416	0.5
383	420	0.5
383	560	0.5
383	563	0.5
415	498	1
420	560	0.5
420	563	0.5
432	555	0.25
432	588	0.7595
432	627	0.7595
432	651	0.1667
432	668	0.3929
438	658	1
451	494	0.3333
451	509	1.3333
457	610	1.5
457	622	0.5
469	565	0.5
494	509	0.3333
523	637	0.3095
523	638	0.3095
526	576	2
552	651	0.4
552	668	0.4
555	588	0.25
560	563	0.5
561	570	1
588	627	0.5095
588	651	0.1667
588	659	1
588	668	0.3429
610	622	1
627	651	0.1667
627	668	0.3929
637	638	0.3095
651	668	0.4
